ID,logFC,Pvalue
YTHDC2,-1.744004628,0.000184175
ATP6V1H,0.892431401,0.353048891
POLR2B,0.844649895,0.01861372
TPR,1.022762038,0.025565731
DTNBP1,-0.562106222,0.083442796
ANO2,-0.149910396,0.913538172
MAP4,0.076127611,0.048873008
GOPC,-0.252418097,0.487567946
USP28,0.066951626,0.589925845
NOP16,0.588910383,0.963854844
RRM2B,-0.107404906,0.757596838
MRPS10,0.618800965,0.17488387
RSF1,-0.250987681,0.51171192
VPS13D,-0.146877234,0.55170187
CELF2,-0.622750409,0.095384019
FAM120A,0.876312107,0.021517855
R3HDM1,0.217881592,0.888282842
ERCC8,0.387861529,0.40537923
H6PD,0.36211531,0.162024135
VAMP3,0.42676577,0.332066053
RCN1,0.781730499,0.35098241
RFC2,0.965873241,0.061951936
CLPTM1L,0.815568514,0.144538601
NEDD4L,0.531424211,0.00252267
HEXB,0.023351417,0.205906437
PTCD2,-0.32756402,0.635718332
NFE2L3,-0.22402153,0.206814204
MCUR1,1.124279321,0.335449014
LIMA1,0.278970613,0.283738743
LETMD1,-0.045196302,0.787543706
MAPK9,0.190494966,0.603046355
BCAR1,1.50381667,0.332405736
FAM160A2,-0.234400255,0.114302531
HERPUD1,-0.248578574,0.548729159
HOMER3,0.918975392,0.008248235
RAD51,-1.032636204,0.02603798
CYBA,1.056607139,0.545069798
THOC3,0.609837857,0.794336984
HEBP2,1.61145101,0.323740911
PLEKHA5,-0.580441231,0.000927804
SIKE1,-0.448778416,0.579702488
RRP12,0.671866744,0.164698575
MSMO1,-0.491038283,0.072223252
TTC17,-0.696824794,0.455155758
AKR7A2,-0.555184867,0.509313297
MRTO4,0.69792317,0.062242106
USE1,0.137375179,0.559768595
AP5M1,0.085327122,0.81417018
ANAPC4,-0.426361756,0.002334479
TRAPPC3,-0.895006854,0.054476974
THRAP3,1.091598671,0.274286022
PHPT1,0.050139706,0.002643149
ARID4B,0.116844148,0.70504125
SDCCAG8,-0.258272198,0.212207095
KIF1B,-0.27785186,0.006404557
FOXC1,-0.52440436,0.185543065
TBC1D22A,-0.14881133,0.262328538
SYNE2,1.011548411,0.443831467
FAM168A,1.037483503,0.494748689
NOP58,1.297676666,0.277384308
SZRD1,0.633222918,0.295473033
CUL1,0.296585018,0.045681651
FAM114A2,-0.430580547,0.07567909
TAB2,0.29735568,0.078711687
EIF2AK2,1.286215914,0.410288159
USP36,0.289216328,0.19781588
KMT2C,0.621513162,0.804019469
PUM2,-1.103642204,0.000150504
MRPL43,-0.989600442,1.99E-05
C4orf27,-1.064562157,0.347148953
ZFR,0.693019103,0.10476198
TRAF1,0.315115981,0.620083422
RC3H2,-0.114989985,0.332407137
DCBLD2,0.048348544,0.555769207
SOAT1,-0.510306283,4.37E-05
PKP2,0.243723186,0.500598555
GDI2,1.668661067,0.003576345
ATG5,-0.276525495,0.686272623
PITHD1,0.195568344,0.448341888
MTA3,0.863857933,0.515252994
USP13,0.127498878,0.049337205
ATP11B,0.017088766,0.822163749
SEC61A1,-0.234779424,0.8551985
PPP1R12A,-0.096739678,0.005619468
POLR3E,1.076562579,0.514561194
ATP2B4,0.159361429,0.223466299
ZC3H11A,0.577251759,0.879533612
RIOK2,-0.188557401,0.025059773
NDC1,0.181992722,0.742770096
PARP12,0.575862206,0.28252612
